time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-09-14T01:58:31.410Z,7.3767,-76.1591,17,6,mww,,33,3.109,1.16,us,us10006pdp,2016-09-15T00:15:23.164Z,"33km ENE of Mutata, Colombia",earthquake,6.5,1.8,,,reviewed,us,us
2016-09-13T07:50:22.080Z,37.8046667,-122.1975,4.02,3.54,mw,236,12,0.01025,0.14,nc,nc72694726,2016-09-21T04:44:04.856Z,"3km SE of Piedmont, California",earthquake,0.08,0.13,,5,reviewed,nc,nc
2016-09-12T11:32:54.940Z,35.7686,129.2267,10,5.4,mb,,29,0.527,0.89,us,us10006p1f,2016-09-19T13:17:10.878Z,"8km S of Kyonju, South Korea",earthquake,4.9,1.8,0.034,302,reviewed,us,us
2016-09-11T13:10:07.690Z,42.0124,21.4809,10,5.3,mb,,24,1.382,0.87,us,us10006nuj,2016-09-15T19:55:22.798Z,"4km ENE of Skopje, Macedonia",earthquake,4.5,1.8,0.078,55,reviewed,us,us
2016-09-10T12:27:33.110Z,-1.0302,31.5604,40,5.9,mww,,30,5.692,0.88,us,us10006nkx,2016-09-20T10:34:16.755Z,"22km NE of Nsunga, Tanzania",earthquake,9.2,1.9,,,reviewed,us,us
2016-09-09T02:06:29.040Z,35.5213,-97.3848,5,3.8,mb_lg,,90,0.067,0.66,us,us10006n8p,2016-09-14T23:12:43.800Z,"0km WSW of Spencer, Oklahoma",earthquake,1,1.9,0.049,108,reviewed,us,us
2016-09-09T00:30:01.890Z,41.2977,129.0147,0,5.3,mb,,15,3.081,0.58,us,us10006n8a,2016-09-13T17:05:12.324Z,"19km ENE of Sungjibaegam, North Korea",explosion,2.1,1.7,0.024,571,reviewed,us,us
2016-09-03T12:02:44.400Z,36.4251,-96.9291,5.557,5.8,mww,,69,,0.69,us,us10006jxs,2016-09-21T18:48:19.850Z,"14km NW of Pawnee, Oklahoma",earthquake,1.5,1.3,,,reviewed,tul,us
2016-09-03T03:27:57.250Z,40.3208333,-125.6876667,28.57,5.64,mw,21,313,1.042,0.28,nc,nc72689331,2016-09-07T18:34:51.166Z,"103km W of Ferndale, California",earthquake,3.32,31.61,,6,reviewed,nc,nc
2016-09-01T16:37:57.790Z,-37.401,179.0548,19,7.1,mww,,68,3.936,0.99,us,us10006jbi,2016-09-07T07:06:44.363Z,"166km NE of Gisborne, New Zealand",earthquake,8,1.7,,,reviewed,us,us
2016-08-31T03:11:36.060Z,-3.6914,152.7879,499.06,6.7,mwp,,20,0.796,0.74,us,us10006iy0,2016-09-03T14:33:32.025Z,"39km E of Namatanai, Papua New Guinea",earthquake,9.6,8.3,0.03,129,reviewed,us,us
2016-08-29T04:29:57.880Z,-0.0471,-17.8294,10,7.1,mww,,24,8.561,0.88,us,us20006uy6,2016-09-08T01:44:23.796Z,"North of Ascension Island",earthquake,8.3,1.8,,,reviewed,us,us
2016-08-24T10:34:55.000Z,20.9192,94.5789,84.07,6.8,mwp,,24,1.797,1.35,us,us10006gbf,2016-09-07T07:33:26.007Z,"25km W of Chauk, Burma",earthquake,5.2,3.7,0.02,287,reviewed,us,us
2016-08-24T02:33:29.660Z,42.8335,13.1319,4.95,5.6,mww,,23,0.519,0.82,us,us10006g7w,2016-09-08T01:14:42.304Z,"5km NNE of Norcia, Italy",earthquake,3.6,3.2,,,reviewed,us,us
2016-08-24T01:36:32.880Z,42.7226,13.1871,4.5,6.2,mww,,25,0.123,0.67,us,us10006g7d,2016-09-20T14:14:35.015Z,"10km SE of Norcia, Italy",earthquake,4.4,2.8,,,reviewed,us,us
